A08.11	1	Acute gastroenteropathy due to Norwalk agent	Acute gastroenteropathy due to Norwalk agent
A08.19	1	Acute gastroenteropathy due to other small round virus	Acute gastroenteropathy due to other small round viruses
A08.2	1	Adenoviral enteritis	Adenoviral enteritis
A08.3	0	Other viral enteritis	Other viral enteritis
A08.31	1	Calicivirus enteritis	Calicivirus enteritis
A08.32	1	Astrovirus enteritis	Astrovirus enteritis
A08.39	1	Other viral enteritis	Other viral enteritis
A08.4	1	Viral intestinal infection, unspecified	Viral intestinal infection, unspecified
A08.8	1	Other specified intestinal infections	Other specified intestinal infections
A09	1	Infectious gastroenteritis and colitis, unspecified	Infectious gastroenteritis and colitis, unspecified
A15	0	Respiratory tuberculosis	Respiratory tuberculosis
A15.0	1	Tuberculosis of lung	Tuberculosis of lung
A15.4	1	Tuberculosis of intrathoracic lymph nodes	Tuberculosis of intrathoracic lymph nodes
A15.5	1	Tuberculosis of larynx, trachea and bronchus	Tuberculosis of larynx, trachea and bronchus
A15.6	1	Tuberculous pleurisy	Tuberculous pleurisy
A15.7	1	Primary respiratory tuberculosis	Primary respiratory tuberculosis
A15.8	1	Other respiratory tuberculosis	Other respiratory tuberculosis
A15.9	1	Respiratory tuberculosis unspecified	Respiratory tuberculosis unspecified
A17	0	Tuberculosis of nervous system	Tuberculosis of nervous system
A17.0	1	Tuberculous meningitis	Tuberculous meningitis
A17.1	1	Meningeal tuberculoma	Meningeal tuberculoma
A17.8	0	Other tuberculosis of nervous system	Other tuberculosis of nervous system
A17.81	1	Tuberculoma of brain and spinal cord	Tuberculoma of brain and spinal cord
A17.82	1	Tuberculous meningoencephalitis	Tuberculous meningoencephalitis
A17.83	1	Tuberculous neuritis	Tuberculous neuritis
A17.89	1	Other tuberculosis of nervous system	Other tuberculosis of nervous system
A17.9	1	Tuberculosis of nervous system, unspecified	Tuberculosis of nervous system, unspecified
A18	0	Tuberculosis of other organs	Tuberculosis of other organs
A18.0	0	Tuberculosis of bones and joints	Tuberculosis of bones and joints
A18.01	1	Tuberculosis of spine	Tuberculosis of spine
A18.02	1	Tuberculous arthritis of other joints	Tuberculous arthritis of other joints
A18.03	1	Tuberculosis of other bones	Tuberculosis of other bones
A18.09	1	Other musculoskeletal tuberculosis	Other musculoskeletal tuberculosis
A18.1	0	Tuberculosis of genitourinary system	Tuberculosis of genitourinary system
A18.10	1	Tuberculosis of genitourinary system, unspecified	Tuberculosis of genitourinary system, unspecified
A18.11	1	Tuberculosis of kidney and ureter	Tuberculosis of kidney and ureter
A18.12	1	Tuberculosis of bladder	Tuberculosis of bladder
A18.13	1	Tuberculosis of other urinary organs	Tuberculosis of other urinary organs
A18.14	1	Tuberculosis of prostate	Tuberculosis of prostate
A18.15	1	Tuberculosis of other male genital organs	Tuberculosis of other male genital organs
A18.16	1	Tuberculosis of cervix	Tuberculosis of cervix
A18.17	1	Tuberculous female pelvic inflammatory disease	Tuberculous female pelvic inflammatory disease
A18.18	1	Tuberculosis of other female genital organs	Tuberculosis of other female genital organs
A18.2	1	Tuberculous peripheral lymphadenopathy	Tuberculous peripheral lymphadenopathy
A18.3	0	Tuberculosis of intestines, peritoneum and mesenteric	Tuberculosis of intestines, peritoneum and mesenteric glands
A18.31	1	Tuberculous peritonitis	Tuberculous peritonitis
A18.32	1	Tuberculous enteritis	Tuberculous enteritis
A18.39	1	Retroperitoneal tuberculosis	Retroperitoneal tuberculosis
A18.4	1	Tuberculosis of skin and subcutaneous tissue	Tuberculosis of skin and subcutaneous tissue
A18.5	0	Tuberculosis of eye	Tuberculosis of eye
A18.50	1	Tuberculosis of eye, unspecified	Tuberculosis of eye, unspecified
A18.51	1	Tuberculous episcleritis	Tuberculous episcleritis
A18.52	1	Tuberculous keratitis	Tuberculous keratitis
A18.53	1	Tuberculous chorioretinitis	Tuberculous chorioretinitis
A18.54	1	Tuberculous iridocyclitis	Tuberculous iridocyclitis
A18.59	1	Other tuberculosis of eye	Other tuberculosis of eye
A18.6	1	Tuberculosis of (inner) (middle) ear	Tuberculosis of (inner) (middle) ear
A18.7	1	Tuberculosis of adrenal glands	Tuberculosis of adrenal glands
A18.8	0	Tuberculosis of other specified organs	Tuberculosis of other specified organs
A18.81	1	Tuberculosis of thyroid gland	Tuberculosis of thyroid gland
A18.82	1	Tuberculosis of other endocrine glands	Tuberculosis of other endocrine glands
A18.83	1	Tuberculosis of digestive tract organs, NEC	Tuberculosis of digestive tract organs, not elsewhere classified
A18.84	1	Tuberculosis of heart	Tuberculosis of heart
A18.85	1	Tuberculosis of spleen	Tuberculosis of spleen
A18.89	1	Tuberculosis of other sites	Tuberculosis of other sites
A19	0	Miliary tuberculosis	Miliary tuberculosis
A19.0	1	Acute miliary tuberculosis of a single specified site	Acute miliary tuberculosis of a single specified site
A19.1	1	Acute miliary tuberculosis of multiple sites	Acute miliary tuberculosis of multiple sites
A19.2	1	Acute miliary tuberculosis, unspecified	Acute miliary tuberculosis, unspecified
A19.8	1	Other miliary tuberculosis	Other miliary tuberculosis
A19.9	1	Miliary tuberculosis, unspecified	Miliary tuberculosis, unspecified
A20	0	Plague	Plague
A20.0	1	Bubonic plague	Bubonic plague
A20.1	1	Cellulocutaneous plague	Cellulocutaneous plague
A20.2	1	Pneumonic plague	Pneumonic plague
A20.3	1	Plague meningitis	Plague meningitis
A20.7	1	Septicemic plague	Septicemic plague
A20.8	1	Other forms of plague	Other forms of plague
A20.9	1	Plague, unspecified	Plague, unspecified
A21	0	Tularemia	Tularemia
A21.0	1	Ulceroglandular tularemia	Ulceroglandular tularemia
A21.1	1	Oculoglandular tularemia	Oculoglandular tularemia
A21.2	1	Pulmonary tularemia	Pulmonary tularemia
A21.3	1	Gastrointestinal tularemia	Gastrointestinal tularemia
A21.7	1	Generalized tularemia	Generalized tularemia
A21.8	1	Other forms of tularemia	Other forms of tularemia
A21.9	1	Tularemia, unspecified	Tularemia, unspecified
A22	0	Anthrax	Anthrax
A22.0	1	Cutaneous anthrax	Cutaneous anthrax
A22.1	1	Pulmonary anthrax	Pulmonary anthrax
A22.2	1	Gastrointestinal anthrax	Gastrointestinal anthrax
A22.7	1	Anthrax sepsis	Anthrax sepsis
A22.8	1	Other forms of anthrax	Other forms of anthrax
A22.9	1	Anthrax, unspecified	Anthrax, unspecified
A23	0	Brucellosis	Brucellosis
A23.0	1	Brucellosis due to Brucella melitensis	Brucellosis due to Brucella melitensis
A23.1	1	Brucellosis due to Brucella abortus	Brucellosis due to Brucella abortus
A23.2	1	Brucellosis due to Brucella suis	Brucellosis due to Brucella suis
A23.3	1	Brucellosis due to Brucella canis	Brucellosis due to Brucella canis
A23.8	1	Other brucellosis	Other brucellosis
A23.9	1	Brucellosis, unspecified	Brucellosis, unspecified
A24	0	Glanders and melioidosis	Glanders and melioidosis
A24.0	1	Glanders	Glanders
A24.1	1	Acute and fulminating melioidosis	Acute and fulminating melioidosis
A24.2	1	Subacute and chronic melioidosis	Subacute and chronic melioidosis
A24.3	1	Other melioidosis	Other melioidosis
A24.9	1	Melioidosis, unspecified	Melioidosis, unspecified
A25	0	Rat-bite fevers	Rat-bite fevers
A25.0	1	Spirillosis	Spirillosis
A25.1	1	Streptobacillosis	Streptobacillosis
A25.9	1	Rat-bite fever, unspecified	Rat-bite fever, unspecified
A26	0	Erysipeloid	Erysipeloid
A26.0	1	Cutaneous erysipeloid	Cutaneous erysipeloid
A26.7	1	Erysipelothrix sepsis	Erysipelothrix sepsis
A26.8	1	Other forms of erysipeloid	Other forms of erysipeloid
A26.9	1	Erysipeloid, unspecified	Erysipeloid, unspecified
A27	0	Leptospirosis	Leptospirosis
A27.0	1	Leptospirosis icterohemorrhagica	Leptospirosis icterohemorrhagica
A27.8	0	Other forms of leptospirosis	Other forms of leptospirosis
A27.81	1	Aseptic meningitis in leptospirosis	Aseptic meningitis in leptospirosis
A27.89	1	Other forms of leptospirosis	Other forms of leptospirosis
A27.9	1	Leptospirosis, unspecified	Leptospirosis, unspecified
A28	0	Other zoonotic bacterial diseases, not elsewhere class	Other zoonotic bacterial diseases, not elsewhere classified
A28.0	1	Pasteurellosis	Pasteurellosis
A28.1	1	Cat-scratch disease	Cat-scratch disease
A28.2	1	Extraintestinal yersiniosis	Extraintestinal yersiniosis
A28.8	1	Oth zoonotic bacterial diseases, not elsewhere classif	Other specified zoonotic bacterial diseases, not elsewhere classified
A28.9	1	Zoonotic bacterial disease, unspecified	Zoonotic bacterial disease, unspecified
A30	0	Leprosy [Hansen's disease]	Leprosy [Hansen's disease]
A30.0	1	Indeterminate leprosy	Indeterminate leprosy
A30.1	1	Tuberculoid leprosy	Tuberculoid leprosy
A30.2	1	Borderline tuberculoid leprosy	Borderline tuberculoid leprosy
A30.3	1	Borderline leprosy	Borderline leprosy
A30.4	1	Borderline lepromatous leprosy	Borderline lepromatous leprosy
A30.5	1	Lepromatous leprosy	Lepromatous leprosy
A30.8	1	Other forms of leprosy	Other forms of leprosy
A30.9	1	Leprosy, unspecified	Leprosy, unspecified
A31	0	Infection due to other mycobacteria	Infection due to other mycobacteria
A31.0	1	Pulmonary mycobacterial infection	Pulmonary mycobacterial infection
A31.1	1	Cutaneous mycobacterial infection	Cutaneous mycobacterial infection
A31.2	1	Dissem mycobacterium avium-intracellulare complex (DMA	Disseminated mycobacterium avium-intracellulare complex (DMAC)
A31.8	1	Other mycobacterial infections	Other mycobacterial infections
A31.9	1	Mycobacterial infection, unspecified	Mycobacterial infection, unspecified
A32	0	Listeriosis	Listeriosis
A32.0	1	Cutaneous listeriosis	Cutaneous listeriosis
A32.1	0	Listerial meningitis and meningoencephalitis	Listerial meningitis and meningoencephalitis
A32.11	1	Listerial meningitis	Listerial meningitis
A32.12	1	Listerial meningoencephalitis	Listerial meningoencephalitis
A32.7	1	Listerial sepsis	Listerial sepsis
A32.8	0	Other forms of listeriosis	Other forms of listeriosis
A32.81	1	Oculoglandular listeriosis	Oculoglandular listeriosis
A32.82	1	Listerial endocarditis	Listerial endocarditis
A32.89	1	Other forms of listeriosis	Other forms of listeriosis
A32.9	1	Listeriosis, unspecified	Listeriosis, unspecified
A33	1	Tetanus neonatorum	Tetanus neonatorum
A34	1	Obstetrical tetanus	Obstetrical tetanus
A35	1	Other tetanus	Other tetanus
A36	0	Diphtheria	Diphtheria
A36.0	1	Pharyngeal diphtheria	Pharyngeal diphtheria
A36.1	1	Nasopharyngeal diphtheria	Nasopharyngeal diphtheria
A36.2	1	Laryngeal diphtheria	Laryngeal diphtheria
A36.3	1	Cutaneous diphtheria	Cutaneous diphtheria
A36.8	0	Other diphtheria	Other diphtheria
A36.81	1	Diphtheritic cardiomyopathy	Diphtheritic cardiomyopathy
A36.82	1	Diphtheritic radiculomyelitis	Diphtheritic radiculomyelitis
A36.83	1	Diphtheritic polyneuritis	Diphtheritic polyneuritis
A36.84	1	Diphtheritic tubulo-interstitial nephropathy	Diphtheritic tubulo-interstitial nephropathy
A36.85	1	Diphtheritic cystitis	Diphtheritic cystitis
A36.86	1	Diphtheritic conjunctivitis	Diphtheritic conjunctivitis
A36.89	1	Other diphtheritic complications	Other diphtheritic complications
A36.9	1	Diphtheria, unspecified	Diphtheria, unspecified
A37	0	Whooping cough	Whooping cough
A37.0	0	Whooping cough due to Bordetella pertussis	Whooping cough due to Bordetella pertussis
A37.00	1	Whooping cough due to Bordetella pertussis without pne	Whooping cough due to Bordetella pertussis without pneumonia
A37.01	1	Whooping cough due to Bordetella pertussis with pneumo	Whooping cough due to Bordetella pertussis with pneumonia
A37.1	0	Whooping cough due to Bordetella parapertussis	Whooping cough due to Bordetella parapertussis
A37.10	1	Whooping cough due to Bordetella parapertussis w/o pne	Whooping cough due to Bordetella parapertussis without pneumonia
A37.11	1	Whooping cough due to Bordetella parapertussis w pneum	Whooping cough due to Bordetella parapertussis with pneumonia
A37.8	0	Whooping cough due to other Bordetella species	Whooping cough due to other Bordetella species
A37.80	1	Whooping cough due to other Bordetella species w/o pne	Whooping cough due to other Bordetella species without pneumonia
A37.81	1	Whooping cough due to oth Bordetella species with pneu	Whooping cough due to other Bordetella species with pneumonia
A37.9	0	Whooping cough, unspecified species	Whooping cough, unspecified species
A37.90	1	Whooping cough, unspecified species without pneumonia	Whooping cough, unspecified species without pneumonia
A37.91	1	Whooping cough, unspecified species with pneumonia	Whooping cough, unspecified species with pneumonia
A38	0	Scarlet fever	Scarlet fever
A38.0	1	Scarlet fever with otitis media	Scarlet fever with otitis media
A38.1	1	Scarlet fever with myocarditis	Scarlet fever with myocarditis
A38.8	1	Scarlet fever with other complications	Scarlet fever with other complications
A38.9	1	Scarlet fever, uncomplicated	Scarlet fever, uncomplicated
A39	0	Meningococcal infection	Meningococcal infection
A39.0	1	Meningococcal meningitis	Meningococcal meningitis
A39.1	1	Waterhouse-Friderichsen syndrome	Waterhouse-Friderichsen syndrome
A39.2	1	Acute meningococcemia	Acute meningococcemia
A39.3	1	Chronic meningococcemia	Chronic meningococcemia
A39.4	1	Meningococcemia, unspecified	Meningococcemia, unspecified
A39.5	0	Meningococcal heart disease	Meningococcal heart disease
A39.50	1	Meningococcal carditis, unspecified	Meningococcal carditis, unspecified
A39.51	1	Meningococcal endocarditis	Meningococcal endocarditis
A39.52	1	Meningococcal myocarditis	Meningococcal myocarditis
A39.53	1	Meningococcal pericarditis	Meningococcal pericarditis
A39.8	0	Other meningococcal infections	Other meningococcal infections
A39.81	1	Meningococcal encephalitis	Meningococcal encephalitis
A39.82	1	Meningococcal retrobulbar neuritis	Meningococcal retrobulbar neuritis
A39.83	1	Meningococcal arthritis	Meningococcal arthritis
A39.84	1	Postmeningococcal arthritis	Postmeningococcal arthritis
A39.89	1	Other meningococcal infections	Other meningococcal infections
A39.9	1	Meningococcal infection, unspecified	Meningococcal infection, unspecified
A40	0	Streptococcal sepsis	Streptococcal sepsis
A40.0	1	Sepsis due to streptococcus, group A	Sepsis due to streptococcus, group A
A40.1	1	Sepsis due to streptococcus, group B	Sepsis due to streptococcus, group B
A40.3	1	Sepsis due to Streptococcus pneumoniae	Sepsis due to Streptococcus pneumoniae
A40.8	1	Other streptococcal sepsis	Other streptococcal sepsis
A40.9	1	Streptococcal sepsis, unspecified	Streptococcal sepsis, unspecified
A41	0	Other sepsis	Other sepsis
A41.0	0	Sepsis due to Staphylococcus aureus	Sepsis due to Staphylococcus aureus
A41.01	1	Sepsis due to Methicillin susceptible Staphylococcus a	Sepsis due to Methicillin susceptible Staphylococcus aureus
A41.02	1	Sepsis due to Methicillin resistant Staphylococcus aur	Sepsis due to Methicillin resistant Staphylococcus aureus
A41.1	1	Sepsis due to other specified staphylococcus	Sepsis due to other specified staphylococcus
A41.2	1	Sepsis due to unspecified staphylococcus	Sepsis due to unspecified staphylococcus
A41.3	1	Sepsis due to Hemophilus influenzae	Sepsis due to Hemophilus influenzae
A41.4	1	Sepsis due to anaerobes	Sepsis due to anaerobes
A41.5	0	Sepsis due to other Gram-negative organisms	Sepsis due to other Gram-negative organisms
A41.50	1	Gram-negative sepsis, unspecified	Gram-negative sepsis, unspecified
A41.51	1	Sepsis due to Escherichia coli [E. coli]	Sepsis due to Escherichia coli [E. coli]
A41.52	1	Sepsis due to Pseudomonas	Sepsis due to Pseudomonas
A41.53	1	Sepsis due to Serratia	Sepsis due to Serratia
A41.59	1	Other Gram-negative sepsis	Other Gram-negative sepsis
A41.8	0	Other specified sepsis	Other specified sepsis
A41.81	1	Sepsis due to Enterococcus	Sepsis due to Enterococcus
A41.89	1	Other specified sepsis	Other specified sepsis
A41.9	1	Sepsis, unspecified organism	Sepsis, unspecified organism
A42	0	Actinomycosis	Actinomycosis
A42.0	1	Pulmonary actinomycosis	Pulmonary actinomycosis
A42.1	1	Abdominal actinomycosis	Abdominal actinomycosis
A42.2	1	Cervicofacial actinomycosis	Cervicofacial actinomycosis
A42.7	1	Actinomycotic sepsis	Actinomycotic sepsis
A42.8	0	Other forms of actinomycosis	Other forms of actinomycosis
A42.81	1	Actinomycotic meningitis	Actinomycotic meningitis
A42.82	1	Actinomycotic encephalitis	Actinomycotic encephalitis
